Date,Percentage change
15/07/2013,0.00137
16/07/2013,-0.00371
17/07/2013,0.00277
18/07/2013,0.00503
19/07/2013,0.00161
22/07/2013,0.00203
23/07/2013,-0.00185
24/07/2013,-0.00381
25/07/2013,0.00256
26/07/2013,0.00082
29/07/2013,-0.00373
30/07/2013,0.00037
31/07/2013,-0.00014
01/08/2013,0.01254
02/08/2013,0.00164
05/08/2013,-0.00148
06/08/2013,-0.00572
07/08/2013,-0.00380
08/08/2013,0.00389
09/08/2013,-0.00357
12/08/2013,-0.00115
13/08/2013,0.00278
14/08/2013,-0.00518
15/08/2013,-0.01428
16/08/2013,-0.00330
19/08/2013,-0.00590
20/08/2013,0.00382
21/08/2013,-0.00578
22/08/2013,0.00862
23/08/2013,0.00395
26/08/2013,-0.00404
27/08/2013,-0.01588
28/08/2013,0.00275
29/08/2013,0.00196
30/08/2013,-0.00317
03/09/2013,0.00416
04/09/2013,0.00811
05/09/2013,0.00121
06/09/2013,0.00005
09/09/2013,0.01000
10/09/2013,0.00734
11/09/2013,0.00305
12/09/2013,-0.00338
13/09/2013,0.00271
16/09/2013,0.00569
17/09/2013,0.00422
18/09/2013,0.01218
19/09/2013,-0.00184
20/09/2013,-0.00722
23/09/2013,-0.00472
24/09/2013,-0.00260
25/09/2013,-0.00274
26/09/2013,0.00349
27/09/2013,-0.00407
30/09/2013,-0.00603
01/10/2013,0.00800
02/10/2013,-0.00067
03/10/2013,-0.00898
04/10/2013,0.00706
07/10/2013,-0.00851
08/10/2013,-0.01233
09/10/2013,0.00057
10/10/2013,0.02183
11/10/2013,0.00628
14/10/2013,0.00408
15/10/2013,-0.00706
16/10/2013,0.01383
17/10/2013,0.00674
18/10/2013,0.00655
21/10/2013,0.00009
22/10/2013,0.00574
23/10/2013,-0.00473
24/10/2013,0.00326
25/10/2013,0.00439
28/10/2013,0.00133
29/10/2013,0.00558
30/10/2013,-0.00487
31/10/2013,-0.00384
01/11/2013,0.00290
04/11/2013,0.00357
05/11/2013,-0.00280
06/11/2013,0.00426
07/11/2013,-0.01318
08/11/2013,0.01342
11/11/2013,0.00073
12/11/2013,-0.00237
13/11/2013,0.00810
14/11/2013,0.00483
15/11/2013,0.00422
18/11/2013,-0.00370
19/11/2013,-0.00205
20/11/2013,-0.00363
21/11/2013,0.00813
22/11/2013,0.00496
25/11/2013,-0.00126
26/11/2013,0.00015
27/11/2013,0.00249
29/11/2013,-0.00079
02/12/2013,-0.00272
03/12/2013,-0.00319
04/12/2013,-0.00131
05/12/2013,-0.00434
06/12/2013,0.01124
09/12/2013,0.00181
10/12/2013,-0.00318
11/12/2013,-0.01131
12/12/2013,-0.00377
13/12/2013,-0.00010
16/12/2013,0.00632
17/12/2013,-0.00310
18/12/2013,0.01664
19/12/2013,-0.00058
20/12/2013,0.00482
23/12/2013,0.00532
24/12/2013,0.00292
26/12/2013,0.00474
27/12/2013,-0.00033
30/12/2013,-0.00018
31/12/2013,0.00396
02/01/2014,-0.00886
03/01/2014,-0.00034
06/01/2014,-0.00251
07/01/2014,0.00608
08/01/2014,-0.00021
09/01/2014,0.00034
10/01/2014,0.00231
13/01/2014,-0.01258
14/01/2014,0.01082
15/01/2014,0.00516
16/01/2014,-0.00135
17/01/2014,-0.00390
21/01/2014,0.00278
22/01/2014,0.00057
23/01/2014,-0.00889
24/01/2014,-0.02088
27/01/2014,-0.00487
28/01/2014,0.00614
29/01/2014,-0.01021
30/01/2014,0.01127
31/01/2014,-0.00647
03/02/2014,-0.02283
04/02/2014,0.00765
05/02/2014,-0.00203
06/02/2014,0.01244
07/02/2014,0.01330
10/02/2014,0.00157
11/02/2014,0.01106
12/02/2014,-0.00027
13/02/2014,0.00581
14/02/2014,0.00481
18/02/2014,0.00116
19/02/2014,-0.00652
20/02/2014,0.00603
21/02/2014,-0.00192
24/02/2014,0.00619
25/02/2014,-0.00135
26/02/2014,0.00002
27/02/2014,0.00495
28/02/2014,0.00278
03/03/2014,-0.00738
04/03/2014,0.01527
05/03/2014,-0.00005
06/03/2014,0.00172
07/03/2014,0.00054
10/03/2014,-0.00046
11/03/2014,-0.00509
12/03/2014,0.00030
13/03/2014,-0.01170
14/03/2014,-0.00282
17/03/2014,0.00961
18/03/2014,0.00722
19/03/2014,-0.00613
20/03/2014,0.00604
21/03/2014,-0.00293
24/03/2014,-0.00486
25/03/2014,0.00440
26/03/2014,-0.00700
27/03/2014,-0.00190
28/03/2014,0.00464
31/03/2014,0.00792
01/04/2014,0.00704
02/04/2014,0.00285
03/04/2014,-0.00113
04/04/2014,-0.01254
07/04/2014,-0.01075
08/04/2014,0.00375
09/04/2014,0.01092
10/04/2014,-0.02089
11/04/2014,-0.00949
14/04/2014,0.00822
15/04/2014,0.00676
16/04/2014,0.01049
17/04/2014,0.00136
21/04/2014,0.00377
22/04/2014,0.00409
23/04/2014,-0.00222
24/04/2014,0.00172
25/04/2014,-0.00810
28/04/2014,0.00323
29/04/2014,0.00476
30/04/2014,0.00299
01/05/2014,-0.00014
02/05/2014,-0.00135
05/05/2014,0.00187
06/05/2014,-0.00899
07/05/2014,0.00562
08/05/2014,-0.00137
09/05/2014,0.00152
12/05/2014,0.00968
13/05/2014,0.00042
14/05/2014,-0.00470
15/05/2014,-0.00936
16/05/2014,0.00375
19/05/2014,0.00385
20/05/2014,-0.00650
21/05/2014,0.00811
22/05/2014,0.00236
23/05/2014,0.00425
27/05/2014,0.00599
28/05/2014,-0.00111
29/05/2014,0.00536
30/05/2014,0.00185
02/06/2014,0.00072
03/06/2014,-0.00037
04/06/2014,0.00189
05/06/2014,0.00653
06/06/2014,0.00463
09/06/2014,0.00094
10/06/2014,-0.00025
11/06/2014,-0.00354
12/06/2014,-0.00709
13/06/2014,0.00313
16/06/2014,0.00084
17/06/2014,0.00217
18/06/2014,0.00772
19/06/2014,0.00128
20/06/2014,0.00173
23/06/2014,-0.00013
24/06/2014,-0.00643
25/06/2014,0.00490
26/06/2014,-0.00118
27/06/2014,0.00191
30/06/2014,-0.00037
01/07/2014,0.00668
02/07/2014,0.00066
03/07/2014,0.00548
07/07/2014,-0.00392
08/07/2014,-0.00705
09/07/2014,0.00465
10/07/2014,-0.00413
11/07/2014,0.00147
14/07/2014,0.00484
15/07/2014,-0.00193
16/07/2014,0.00420
17/07/2014,-0.01183
18/07/2014,0.01026
21/07/2014,-0.00232
22/07/2014,0.00502
23/07/2014,0.00175
24/07/2014,0.00049
25/07/2014,-0.00485
28/07/2014,0.00029
29/07/2014,-0.00453
30/07/2014,0.00006
31/07/2014,-0.02000
01/08/2014,-0.00286
04/08/2014,0.00719
05/08/2014,-0.00968
06/08/2014,0.00001
07/08/2014,-0.00555
08/08/2014,0.01153
11/08/2014,0.00276
12/08/2014,-0.00164
13/08/2014,0.00671
14/08/2014,0.00435
15/08/2014,-0.00006
18/08/2014,0.00853
19/08/2014,0.00500
20/08/2014,0.00248
21/08/2014,0.00295
22/08/2014,-0.00199
25/08/2014,0.00479
26/08/2014,0.00105
27/08/2014,0.00005
28/08/2014,-0.00169
29/08/2014,0.00332
02/09/2014,-0.00054
03/09/2014,-0.00078
04/09/2014,-0.00154
05/09/2014,0.00504
08/09/2014,-0.00307
09/09/2014,-0.00654
10/09/2014,0.00364
11/09/2014,0.00088
12/09/2014,-0.00596
15/09/2014,-0.00071
16/09/2014,0.00748
17/09/2014,0.00129
18/09/2014,0.00490
19/09/2014,-0.00048
22/09/2014,-0.00801
23/09/2014,-0.00578
24/09/2014,0.00784
25/09/2014,-0.01617
26/09/2014,0.00857
29/09/2014,-0.00254
30/09/2014,-0.00279
01/10/2014,-0.01325
02/10/2014,0.00000
03/10/2014,0.01117
06/10/2014,-0.00156
07/10/2014,-0.01513
08/10/2014,0.01746
09/10/2014,-0.02066
10/10/2014,-0.01145
13/10/2014,-0.01647
14/10/2014,0.00158
15/10/2014,-0.00810
16/10/2014,0.00015
17/10/2014,0.01288
20/10/2014,0.00914
21/10/2014,0.01958
22/10/2014,-0.00730
23/10/2014,0.01230
24/10/2014,0.00705
27/10/2014,-0.00150
28/10/2014,0.01194
29/10/2014,-0.00138
30/10/2014,0.00623
31/10/2014,0.01173
03/11/2014,-0.00012
04/11/2014,-0.00283
05/11/2014,0.00571
06/11/2014,0.00377
07/11/2014,0.00035
10/11/2014,0.00312
11/11/2014,0.00070
12/11/2014,-0.00070
13/11/2014,0.00053
14/11/2014,0.00024
17/11/2014,0.00074
18/11/2014,0.00513
19/11/2014,-0.00150
20/11/2014,0.00197
21/11/2014,0.00524
24/11/2014,0.00286
25/11/2014,-0.00115
26/11/2014,0.00280
28/11/2014,-0.00254
01/12/2014,-0.00683
02/12/2014,0.00638
03/12/2014,0.00377
04/12/2014,-0.00117
05/12/2014,0.00167
08/12/2014,-0.00726
